query_id,condition,seed,correct_rank,top5_hit,top10_hit,effective_mse,psnr,max_abs_delta,clipped_fraction,region_mode,caption_source,steps,epsilon
amman_query_-MUBUlzvFxQS_zFg6xNhVg,geoshield_published_fullframe,1234,172,0,0,15.679997,36.1773,9.6899,0.000011,fullframe,published,100,8.0
boston_query_-6RLrPXAeunQaNK6m645ZA,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.007248,fullframe,published,100,8.0
boston_query_-6RLrPXAeunQaNK6m645ZA,isotropic,1234,1,1,1,15.680002,36.1773,16.8392,0.024588,fullframe,published,100,8.0
boston_query_-6RLrPXAeunQaNK6m645ZA,geoshield_published_fullframe,1234,1,1,1,15.679998,36.1773,10.1456,0.003130,fullframe,published,100,8.0
cph_query_-2N5Dmf5tOm5N83KXgvjDw,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.088764,fullframe,published,100,8.0
cph_query_-2N5Dmf5tOm5N83KXgvjDw,isotropic,1234,1,1,1,15.680001,36.1773,17.4698,0.095003,fullframe,published,100,8.0
cph_query_-2N5Dmf5tOm5N83KXgvjDw,geoshield_published_fullframe,1234,1,1,1,15.679997,36.1773,9.9060,0.047021,fullframe,published,100,8.0
london_query_-8xWvI5d3Z6gfsRDb_kEQQ,clean,1234,23,0,0,0.000000,138.1308,0.0000,0.047092,fullframe,published,100,8.0
london_query_-8xWvI5d3Z6gfsRDb_kEQQ,isotropic,1234,14,0,0,15.679996,36.1773,17.0953,0.053168,fullframe,published,100,8.0
london_query_-8xWvI5d3Z6gfsRDb_kEQQ,geoshield_published_fullframe,1234,19,0,0,15.679997,36.1773,9.6300,0.025152,fullframe,published,100,8.0
manila_query_-6_2C-ExaVhx4ONvHOvffw,clean,1234,449,0,0,0.000000,138.1308,0.0000,0.010590,fullframe,published,100,8.0
manila_query_-6_2C-ExaVhx4ONvHOvffw,isotropic,1234,413,0,0,15.680002,36.1773,16.9924,0.038037,fullframe,published,100,8.0
manila_query_-6_2C-ExaVhx4ONvHOvffw,geoshield_published_fullframe,1234,437,0,0,15.680000,36.1773,9.7224,0.005572,fullframe,published,100,8.0
nairobi_query_0-ZdPdUGwVdDwKbIOxQCBA,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.004232,fullframe,published,100,8.0
nairobi_query_0-ZdPdUGwVdDwKbIOxQCBA,isotropic,1234,1,1,1,15.679998,36.1773,16.6799,0.007357,fullframe,published,100,8.0
nairobi_query_0-ZdPdUGwVdDwKbIOxQCBA,geoshield_published_fullframe,1234,6,0,1,15.679997,36.1773,10.0456,0.002024,fullframe,published,100,8.0
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,clean,1234,1215,0,0,0.000000,138.1308,0.0000,0.000005,fullframe,published,100,8.0
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,isotropic,1234,1277,0,0,15.680000,36.1773,16.6196,0.001400,fullframe,published,100,8.0
toronto_query_-5ryd5v5eXUsmP9y4p6w_g,geoshield_published_fullframe,1234,288,0,0,15.679998,36.1773,10.0266,0.000005,fullframe,published,100,8.0
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,clean,1234,2,1,1,0.000000,138.1308,0.0000,0.000000,fullframe,published,100,8.0
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,isotropic,1234,3,1,1,15.679998,36.1773,16.6099,0.000483,fullframe,published,100,8.0
zurich_query_-Bz7by7mnVU_HZbXc8FmpQ,geoshield_published_fullframe,1234,11,0,0,15.680000,36.1773,9.6663,0.000000,fullframe,published,100,8.0
amman_query_-N1g8CEJP4UIaWH8Qqja2g,clean,1234,71,0,0,0.000000,138.1308,0.0000,0.000054,fullframe,published,100,8.0
